S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,CIV,143031,143031,170697,170697,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,158522,,35000
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,CSE,132938,132938,170635,170635,173467,173467,153425,167840,167292,169169,132938,139146,134908,157283,144114,144114,149718,120842,35000
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,ECE,114459,114459,114459,114459,114459,114459,165041,165041,163503,163503,114459,114459,114459,146246,114459,114459,128288,,35000
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,EEE,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,,,169142,169163,169163,169163,,,35000
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,MEC,169131,169131,173540,173540,169131,169131,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,35000
6,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CIV,81311,119201,129296,138982,81311,119201,109003,119201,123948,123948,81311,119201,81311,119201,81311,119201,,109659,38000
7,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSE,31900,31900,110055,110055,128262,171628,77271,77271,68512,68512,31900,31900,42295,61136,147695,147695,34137,26445,38000
8,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSM,44767,45866,170214,170214,95066,95066,99522,136357,69370,76716,44767,52880,52754,57239,132995,142219,47332,50848,38000
9,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSO,53492,54061,53492,171559,53492,54757,109412,109412,77179,82112,53492,54061,68283,68283,71051,112254,54950,57293,38000
10,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,ECE,59801,59801,173420,173420,169694,169694,139479,139479,76754,76754,124636,124636,78103,87646,126627,126627,60472,60156,38000
11,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,EEE,86786,86845,150900,150900,86786,86845,154750,154750,121833,121833,86786,86845,138352,138352,86786,117319,86487,,38000
12,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,MEC,169131,169131,169131,169131,173554,173554,169163,169163,169169,169169,,169131,169131,169131,169131,169131,123425,102256,38000
13,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,CIV,135022,135022,170278,170278,135022,135022,157855,168890,163968,169074,135022,135022,158309,158309,149020,149020,140587,152251,37000
14,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,CSD,32732,32732,154857,154857,32732,32732,58877,100168,58989,62480,32732,50070,50728,50728,102898,110022,31344,31314,37000
15,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,CSE,21243,24445,75216,83765,154741,170439,30497,36221,30217,57612,29999,29999,39393,41500,87476,87476,22131,33068,37000
16,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,CSM,32886,32886,158684,172274,158482,158482,74568,114079,58755,62261,67951,67951,46531,47678,118292,127276,35523,34809,37000
17,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,ECE,45410,45410,172097,173161,45410,45410,88231,90409,62248,64467,51073,51073,53901,60809,89808,160708,48449,45562,37000
18,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,EEE,83253,83253,126921,126921,83253,83253,115279,115279,103434,107053,83253,97730,91256,91256,162817,162817,84595,84038,37000
19,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,INF,36819,36819,173373,173373,132828,132828,58294,58814,53032,53032,39386,39386,39375,55208,58778,70795,24003,29669,37000
20,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,MEC,143235,143235,159544,159544,160681,160681,159076,159076,161702,161702,143235,143235,163878,163878,143235,143235,142273,107682,37000
21,ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2006,PHD,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,,,56600
22,ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2006,PHM,169131,169131,173540,173540,173554,173554,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,45000
23,ADCP,ADARSHA COLL OF PHARMACY,PVT,AU,EG,G.KOTHAPALLI,COED,JNTUK,2008,PHM,57013,169623,57013,172531,124974,169623,103001,169623,57013,169623,57013,169623,57013,169623,57013,169623,,,35000
24,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,AGR,115578,140598,173470,173470,115578,143584,115578,140598,115578,140598,115578,140598,115578,140598,115578,140598,149181,99698,51100
25,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,AIM,24491,25034,121666,171587,170892,172452,61286,65932,39246,48414,27923,53556,35698,43262,93408,93408,25225,24682,51100
26,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,CIV,77581,109902,169794,169794,110410,110410,161551,161551,151536,151536,77581,109902,91180,109902,158732,158732,111796,88226,51100
27,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,CSD,20564,20564,79596,108319,133075,133075,38314,38314,36570,36570,80854,80854,20601,23059,20564,20564,18694,17254,51100
28,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,CSE,13008,13526,39163,39163,84400,84400,21102,28089,18482,18482,28554,28554,17932,17932,32391,32391,13490,11450,51100
29,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,ECE,31815,31815,107491,128677,134198,138259,54012,54012,48514,50236,85189,112965,43010,60296,141097,160475,43037,30296,51100
30,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,EEE,66284,66284,171006,171006,69725,69725,66284,142775,79840,96042,66284,66284,77867,77867,103216,103216,67919,59526,51100
31,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,INF,22172,24243,125847,141212,153267,153267,40688,40688,42845,44512,22172,71616,28634,28634,160432,160432,22475,22273,51100
32,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,MEC,100950,162427,173045,173045,103575,162427,145462,162427,123525,162427,100950,162427,102414,162427,100950,162427,99366,99655,51100
33,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,MIN,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,141805,,,51100
34,ADTP,ADITYA ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001,PET,124841,131261,172489,172489,124841,131261,124841,131261,124841,131261,124841,131261,124841,131261,124841,131261,,153943,51100
35,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,CIV,81264,81264,161074,161074,81264,134219,81264,100444,112694,113386,81264,81264,115763,115763,81264,81264,142420,,35000
36,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,CSE,33473,36656,51646,51646,45824,45824,67071,67071,49906,49906,33473,36656,43077,43077,69195,69195,31869,27937,35000
37,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,ECE,57994,57994,95697,95697,57994,125920,138858,138858,69204,69204,153779,153779,73269,73269,57994,151418,83253,82263,35000
38,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,EIE,122764,122764,122764,122764,122764,122764,132870,132870,122764,122764,122764,122764,162773,162773,122764,122764,148461,118189,35000
39,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,MEC,159272,159272,170988,170988,159272,159272,159272,159272,159272,159272,159272,162702,159272,159272,159272,159272,105238,,35000
40,APCS,ADITYA PHARMACY COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,PHM,169131,169131,173540,173540,173554,173554,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,60100
41,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,AIM,60526,64090,126596,169838,61716,64090,101571,105912,77219,77219,60526,64090,76583,90531,118556,127469,54312,58624,42000
42,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,CAD,53821,53821,132718,170777,140421,163110,102743,102743,65743,65743,53821,141687,80091,80091,109902,124969,44486,51140,42000
43,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,CIV,146025,146025,173041,173041,146025,146025,165743,165743,168046,168046,146025,146025,156551,163226,146025,146025,100028,138864,42000
44,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,CSE,36109,43289,86740,86740,82950,82950,74277,123992,59596,60261,90119,90119,50615,68189,128614,128614,39208,30560,42000
45,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,CSM,60156,60156,170611,170611,171031,171031,127604,141003,80463,92176,149073,149073,90644,96476,117164,141715,61589,55571,42000
46,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,ECE,70172,75943,172720,172720,168648,168648,146667,149032,87719,101464,100444,100444,99297,99297,153483,161583,70601,71779,42000
47,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,EEE,99251,112851,99251,112851,99251,112851,128577,128577,123041,137118,99251,112851,126521,164276,128311,128311,98009,97244,42000
48,BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,AU,EG,ODALAREVU,COED,JNTUK,1997,MEC,161218,164340,161218,164788,161218,164340,164816,164816,161466,164340,161218,164340,161218,164340,161218,164340,167686,157796,42000
49,BVCR,BVC ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,CSE,79183,79183,161634,170679,81566,121640,140782,140782,102715,102715,91038,91038,147625,147625,130539,158211,125729,77229,35000
50,BVCR,BVC ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,CSM,100730,100730,112638,133605,100730,157484,165421,165421,147582,159892,100730,100730,159521,160896,158005,158005,120016,166327,35000
51,BVCR,BVC ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009,ECE,124826,146799,151818,151818,156061,156061,168943,168943,164596,164596,124826,146799,124826,156144,152034,152034,119888,135322,35000
52,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,AIM,60262,74289,170928,171313,61892,74289,160032,160032,100486,100486,94840,94840,104355,104355,156114,156114,78042,46931,52700
53,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,CAD,65160,76908,153720,166906,155180,162959,109926,109926,65160,76908,65160,76908,138631,139514,119385,119385,70610,57474,52700
54,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,CIV,129624,129624,129624,135555,129624,129624,152380,152380,150246,150246,139616,139616,152179,152179,153367,153367,155472,121259,52700
55,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,CSE,54046,54046,100028,100028,131896,131896,162520,162520,54046,54046,54046,54046,57820,63535,104769,104769,41790,39030,52700
56,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,ECE,64344,64344,166024,166024,65168,143692,158181,158181,81132,81132,96411,96411,124688,124688,165932,165932,77450,71885,52700
57,BVTS,"BONAM VENKATA CHALAMAIAH
INST. OF TECH AND SCI.",PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002,EEE,115672,115672,128026,128026,115672,115672,147264,147264,137882,156924,126731,126731,148416,148416,115672,115672,98029,82878,52700
58,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AID,113502,113502,165344,165344,171067,171067,170494,170494,148501,148501,113502,172110,168211,173240,113502,113502,,,35000
59,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,AIM,147562,147562,162575,168545,147562,147562,147562,147562,158732,158732,147562,147562,147562,147562,147562,147562,,,35000
60,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,CIV,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,122402,,,35000
61,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,CSE,64778,64778,173510,173510,64778,77841,129687,129687,141519,151504,64778,64778,89734,123663,141961,141961,120016,,35000
62,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,ECE,144690,144690,144690,144690,144690,144868,144690,168261,158628,168313,144690,144690,164424,164424,144690,144690,133288,125300,35000
63,CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2005,MEC,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,142904,,,35000
64,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,AUT,143505,143505,143973,163481,143505,143505,143505,143505,143505,143505,143505,143505,143505,143505,143505,143505,100827,,58700
65,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,CIV,169131,169131,173380,173380,169131,169131,169163,169163,169131,169131,,169131,169142,169142,169163,169163,,,58700
66,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,CSC,42206,61733,138291,171722,155986,155986,83287,130155,62787,72366,42206,61733,56408,90679,133839,133839,44837,47117,58700
67,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,CSD,49882,49882,130171,130171,49882,49882,75288,124053,73698,76129,49882,49882,50627,79658,129614,129614,49102,52576,58700
68,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,CSE,28241,28936,84211,84211,172871,172871,57367,105882,49164,49164,121502,121502,36900,49352,75562,75562,32364,30683,58700
69,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,CSM,46048,53341,171444,171444,63059,63059,102480,106034,68114,69935,46048,53341,56337,68593,158636,158636,52868,52754,58700
70,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,ECE,50428,61968,171988,171988,150553,171796,118028,150439,81550,103001,51356,61968,60768,67323,130036,165344,58375,65168,58700
71,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,EEE,156482,156482,158253,158253,156482,156482,156482,159433,156482,163313,156482,156482,156482,159588,156482,156482,162882,165546,58700
72,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,MEC,150350,150350,170994,170994,154498,155879,150350,150350,152852,152852,150350,150350,163137,163137,150350,150350,151716,133402,58700
73,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,MIN,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,,,169142,169163,169163,169163,,,58700
74,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,1998,PEE,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,64002,,,58700
75,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,CSE,34562,63987,169709,172455,170863,170863,100215,115398,79658,79658,86734,86734,70800,88359,82632,116956,53610,85666,35000
76,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,ECE,57496,71382,160660,160660,74817,74817,131174,131174,104868,140943,57496,128003,81215,100327,148689,148689,90908,103403,35000
77,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,INF,70085,70085,170512,173334,71669,89752,108260,108584,85937,142572,70085,70085,86721,123226,123291,141240,58474,59333,35000
78,GIPR,GIET SCHOOL OF PHARMACY,PVT,AU,EG,RAJAHMUNDRY,COED,AU,,PHD,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,160631,,,35000
79,GIPR,GIET SCHOOL OF PHARMACY,PVT,AU,EG,RAJAHMUNDRY,COED,AU,,PHM,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,62447,,,35000
80,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CSE,61034,61034,164183,173486,170710,172188,102103,118200,68440,68440,62677,62677,61034,73717,101464,101464,64711,60572,35000
81,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CSM,79091,79091,79091,79091,79091,79091,82867,134198,89234,92729,79091,79091,100900,100900,79091,79091,74679,73561,35000
82,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,ECE,74289,82359,170854,170854,75636,82359,124940,152025,146907,146907,74289,82359,103977,103977,138362,138362,117902,78302,35000
83,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,MEC,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,,,35000
84,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AGR,,164724,,165966,,164724,,164724,,164724,,164724,,164724,,164724,,134025,39000
85,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AIM,,135322,,158411,,155640,,135322,,163189,,,,160496,,137373,,145929,39000
86,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,CAI,,114832,,114832,,114832,,168643,,160212,,138712,,120242,,148555,,101015,39000
87,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,CSE,,105949,,164747,,172141,,154437,,112567,,105949,,113050,,149048,,71461,39000
88,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,ECE,,106791,,148383,,108281,,145026,,168912,,,,142953,,108426,,152868,39000
89,JNKFSF,"SCHOOL OF FOOD TECHNOLOGY
JNTUK KAKINADA-SELF FINANCE",SF,AU,EG,KAKINADA,COED,JNTUK,2020,FDE,155967,167604,169333,171665,172376,172376,155967,167604,155967,167604,155967,167604,155967,167604,155967,167604,66445,,45000
90,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,CIV,21143,36558,45101,87540,40092,40092,21143,36558,38531,55848,21143,36558,22515,36558,55182,58169,58856,26780,10000
91,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,CSE,3213,3642,3445,3642,11647,11647,3213,3642,3213,3642,3213,4748,3213,3642,3213,3642,3696,4604,10000
92,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,ECE,5472,5554,5876,8644,17812,77489,5472,6294,6307,6307,5472,5554,5472,5554,5472,5554,5532,12028,10000
93,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,EEE,14652,16490,28296,28296,23367,23367,14652,37097,30691,30691,14652,16490,25059,45381,41565,41565,23822,13622,10000
94,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,MEC,12686,23761,54297,54297,41542,60097,12686,35098,22847,57856,46614,46614,16188,29583,31973,113355,65645,37405,10000
95,JNTKSF,"JNTUK COLLEGE OF ENGG. KAKINADA-
SELF FINANCE",SF,AU,EG,KAKINADA,COED,JNTUK,1946,CHE,48270,52396,171861,171861,159466,159466,110802,166242,135299,135299,48270,52396,66272,102614,118967,140970,104696,136774,45000
96,JNTKSF,"JNTUK COLLEGE OF ENGG. KAKINADA-
SELF FINANCE",SF,AU,EG,KAKINADA,COED,JNTUK,1946,PEE,166686,166686,172361,172361,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,63535,165354,45000
97,KCPT,KORINGA COLLEGE OF PHARMACY,PVT,AU,EG,TALLAREVU,COED,JNTUK,2007,PHD,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,,,169142,169163,169163,169163,,,35000
98,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AID,156805,156805,165784,165784,156891,156891,166375,166375,168146,168146,156805,156805,159056,163615,156805,156805,148484,145200,35000
99,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CAI,157986,157986,165902,165902,157986,157986,165034,165034,157986,157986,157986,157986,157986,157986,157986,157986,136617,139912,35000
100,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CSC,117994,146154,166906,166906,140153,159402,160931,160931,166314,166314,117994,151180,117994,146154,165421,165421,166371,114459,35000
101,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CSD,163199,163199,168509,169074,163199,163199,163199,163622,163199,163199,163199,163199,163199,163199,163199,163199,144995,124327,35000
102,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2009,CSM,145962,157062,160973,160973,145962,157062,166490,166490,165625,165625,145962,157062,153094,165593,145962,157062,138356,143751,35000
103,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AID,99222,135872,173198,173198,103701,135872,129270,165686,161113,163731,118312,139890,137221,160108,149137,166248,139616,146580,35000
104,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2001,CAI,114603,154332,171637,172524,172449,172449,148058,154332,160174,160174,131590,154332,139146,154332,156551,167435,151770,157310,35000
105,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2001,CSC,87073,124220,171060,171060,155380,155380,115687,156468,107252,124220,87073,124220,160835,161392,161819,161819,80473,106881,35000
106,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2001,CSD,136288,161965,136288,161965,169474,169474,166989,166989,158070,161965,136288,161965,163629,164101,167164,167164,119266,105352,35000
107,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,AU,EG,KAKINADA,COED,JNTUK,2001,CSM,119210,140868,166057,166057,119210,140868,162484,162484,153330,164774,119210,140868,167875,167875,167068,167068,118017,104517,35000
108,KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",PVT,AU,EG,KAKINADA,GIRLS,JNTUK,2008,AID,,145747,,171254,,145747,,158694,,167955,,145747,,165143,,154741,,136260,35000
109,KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",PVT,AU,EG,KAKINADA,GIRLS,JNTUK,2008,CAI,,168209,,168661,,168209,,168209,,168209,,,,168511,,168209,,159272,35000
